number,street,unit,city,postcode,lon,lat
935,HILLDALE AVE,,BERKELEY,94708,-122.262292,37.8945962
959,MILLER AVE,,BERKELEY,94708,-122.2623735,37.8938434
969,MILLER AVE,,BERKELEY,94708,-122.2619756,37.8940976
961,MILLER AVE,,BERKELEY,94708,-122.2623616,37.8940129
925,HILLDALE AVE,,BERKELEY,94708,-122.2624439,37.8949084
975,MILLER AVE,,BERKELEY,94708,-122.2617749,37.8941284
984,KEELER AVE,,BERKELEY,94708,-122.2615864,37.8943682
968,KEELER AVE,,BERKELEY,94708,-122.2617678,37.8946954
70,FOREST LN,,BERKELEY,94708,-122.2617305,37.8954958
923,HILLDALE AVE,,BERKELEY,94708,-122.2624802,37.8950181
980,KEELER AVE,,BERKELEY,94708,-122.2616985,37.8944818
10,FOREST LN,,BERKELEY,94708,-122.2625535,37.8951539
956,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2605517,37.8955967
136,FOREST LN,,BERKELEY,94708,-122.2609242,37.8955733
,LATHAM LN,,BERKELEY,94708,-122.2587212,37.8935749
1041,MILLER AVE,,BERKELEY,94708,-122.2590798,37.8932238
,MILLER AVE,,BERKELEY,94708,-122.2592909,37.8936565
,LATHAM LN,,BERKELEY,94708,-122.2587414,37.8934485
1033,MILLER AVE,,BERKELEY,94708,-122.2592071,37.8934802
,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2586364,37.8939799
,LATHAM LN,,BERKELEY,94708,-122.2584344,37.8938604
,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2588823,37.8939949
,LATHAM LN,,BERKELEY,94708,-122.2586822,37.8937262
1016,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2592178,37.8941514
1022,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2590679,37.8940711
973,KEELER AVE,,BERKELEY,94708,-122.2608205,37.8947607
968,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2604607,37.895409
1002,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.259669,37.8944389
1005,MILLER AVE,,BERKELEY,94708,-122.2606901,37.894377
1013,MILLER AVE,,BERKELEY,94708,-122.2599444,37.8942137
29,LATHAM LN,,BERKELEY,94708,-122.2587891,37.8931297
934,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2607641,37.8962493
995,KEELER AVE,,BERKELEY,94708,-122.2609845,37.894355
1014,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2593317,37.8942153
11,LATHAM LN,,BERKELEY,94708,-122.2587096,37.8929494
1020,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2594931,37.8937323
990,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2599959,37.8947172
1015,MILLER AVE,,BERKELEY,94708,-122.259848,37.8941155
994,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2598942,37.8946257
975,KEELER AVE,,BERKELEY,94708,-122.2605116,37.8946129
140,FOREST LN,,BERKELEY,94708,-122.2609089,37.8957391
982,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2600947,37.8948139
998,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.259801,37.8945464
977,KEELER AVE,,BERKELEY,94708,-122.2610967,37.8945921
1009,MILLER AVE,,BERKELEY,94708,-122.2602598,37.8943933
110,FOREST LN,,BERKELEY,94708,-122.2608506,37.8950694
976,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2603712,37.8950691
168,FOREST LN,,BERKELEY,94708,-122.2607708,37.8960855
1007,MILLER AVE,,BERKELEY,94708,-122.2604503,37.8943971
1018,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2596425,37.8938927
1047,MILLER AVE,,BERKELEY,94708,-122.2589604,37.8929974
120,FOREST LN,,BERKELEY,94708,-122.2609217,37.8952314
980,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2602655,37.8948647
950,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2606654,37.8958734
,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2605425,37.895191
1011,MILLER AVE,,BERKELEY,94708,-122.2601028,37.8943168
106,FOREST LN,,BERKELEY,94708,-122.2611584,37.8948928
108,FOREST LN,,BERKELEY,94708,-122.2611649,37.8951255
1012,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2594407,37.894282
944,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2608636,37.8959437
1017,MILLER AVE,,BERKELEY,94708,-122.2597651,37.8940313
,FOREST LN,,BERKELEY,94708,-122.2609401,37.8953587
1008,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2595494,37.8943515
954,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2606154,37.8957569
978,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2603086,37.8949705
972,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.2603027,37.8952728
930,GRIZZLY PEAK BLVD,,BERKELEY,94708,-122.260826,37.8964466
1000,CRESTON RD,,BERKELEY,94708,-122.2589098,37.8952262
1094,CRESTON RD,,BERKELEY,94708,-122.2570359,37.8928193
1020,CRESTON RD,,BERKELEY,94708,-122.2586252,37.8948773
1010,CRESTON RD,,BERKELEY,94708,-122.2587043,37.8951439
1014,CRESTON RD,,BERKELEY,94708,-122.2590671,37.8947633
1048,CRESTON RD,,BERKELEY,94708,-122.2580702,37.8941924
986,CRESTON RD,,BERKELEY,94708,-122.2595457,37.8952556
1070,CRESTON RD,,BERKELEY,94708,-122.2575771,37.8932931
